aeropuerto,aeropuerto_etiqueta_anac,localidad_etiqueta_indec,provincia_etiqueta_indec,pais_etiqueta_indec,continente_etiqueta_indec,continente_etiqueta_migraciones,latitud,longitud
SACO,Aeropuerto Int. Ingeniero Ambrosio Taravella,Córdoba,Córdoba,Argentina,América,América del Sur,-31.323601,-64.208
SAZS,Aeropuerto Int. Tte. Luis Candelaria,San Carlos de Bariloche,Río Negro,Argentina,América,América del Sur,-41.151199,-71.157501
SAAV,Aeropuerto de Sauce Viejo,Santa Fe,Santa Fe,Argentina,América,América del Sur,-31.7117,-60.8117
SANT,Aeropuerto Int. Tte. Gral. Benjamín Matienzo,San Miguel de Tucumán,Tucumán,Argentina,América,América del Sur,-26.8409,-65.104897
SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América,América del Sur,-34.5592,-58.4156
SAME,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Mendoza,Mendoza,Argentina,América,América del Sur,-32.8316993713,-68.7929000854
SANU,Aeropuerto Domingo Faustino Sarmiento,San Juan,San Juan,Argentina,América,América del Sur,-31.571501,-68.418198
SARE,Aeropuerto Int. de Resistencia/José de San Martín,Resistencia,Chaco,Argentina,América,América del Sur,-27.45,-59.0561
SARF,Aeropuerto Int. de Formosa/El Pucú,Formosa,Formosa,Argentina,América,América del Sur,-26.2127,-58.2281
SARI,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Puerto Iguazú,Misiones,Argentina,América,América del Sur,-25.737301,-54.4734
SARP,Aeropuerto Libertador Gral. D. José De San Martín,Posadas,Misiones,Argentina,América,América del Sur,-27.3858,-55.9707
SASA,Aeropuerto Int. Martín Miguel de Güemes,Salta,Salta,Argentina,América,América del Sur,-24.8560009003,-65.4861984253
SASJ,Aeropuerto Int. Gdor. Horacio Guzmán,San Salvador de Jujuy,Jujuy,Argentina,América,América del Sur,-24.392799,-65.097801
SAVC,Aeropuerto Int. Gral. Enrique Mosconi,Comodoro Rivadavia,Chubut,Argentina,América,América del Sur,-45.7853,-67.4655
SAVE,Aeropuerto Brigadier General Antonio Parodi,Esquel,Chubut,Argentina,América,América del Sur,-42.908000946,-71.139503479
SAVT,Aeropuerto Almirante Zar,Trelew,Chubut,Argentina,América,América del Sur,-43.2105,-65.2703
SAWC,Aeropuerto Comte. Armando Tola,El Calafate,Santa Cruz,Argentina,América,América del Sur,-50.2803,-72.053101
SAWE,Aeropuerto Gdor. Ramon Trejo Noel,Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Argentina,América,América del Sur,-53.7777,-67.7494
SAWG,Aeropuerto Int. Piloto Civil Norberto Fernández,Río Gallegos,Santa Cruz,Argentina,América,América del Sur,-51.6089,-69.3126
