Fecha,Día,Número de Día,Mes,Año,Semana del Año,Trimestre,Quincena
2017-01-01,Domingo,1,1,2017,52,1,1
2017-01-02,Lunes,2,1,2017,1,1,1
2017-01-03,Martes,3,1,2017,1,1,1
2017-01-04,Miercoles,4,1,2017,1,1,1
2017-01-05,Jueves,5,1,2017,1,1,1
2017-01-06,Viernes,6,1,2017,1,1,1
2017-01-07,Sabado,7,1,2017,1,1,1
2017-01-08,Domingo,8,1,2017,1,1,1
2017-01-09,Lunes,9,1,2017,2,1,1
2017-01-10,Martes,10,1,2017,2,1,1
2017-01-11,Miercoles,11,1,2017,2,1,1
2017-01-12,Jueves,12,1,2017,2,1,1
2017-01-13,Viernes,13,1,2017,2,1,1
2017-01-14,Sabado,14,1,2017,2,1,1
2017-01-15,Domingo,15,1,2017,2,1,2
2017-01-16,Lunes,16,1,2017,3,1,2
2017-01-17,Martes,17,1,2017,3,1,2
2017-01-18,Miercoles,18,1,2017,3,1,2
2017-01-19,Jueves,19,1,2017,3,1,2
2017-01-20,Viernes,20,1,2017,3,1,2
2017-01-21,Sabado,21,1,2017,3,1,2
2017-01-22,Domingo,22,1,2017,3,1,2
2017-01-23,Lunes,23,1,2017,4,1,2
2017-01-24,Martes,24,1,2017,4,1,2
2017-01-25,Miercoles,25,1,2017,4,1,2
2017-01-26,Jueves,26,1,2017,4,1,2
2017-01-27,Viernes,27,1,2017,4,1,2
2017-01-28,Sabado,28,1,2017,4,1,2
2017-01-29,Domingo,29,1,2017,4,1,2
2017-01-30,Lunes,30,1,2017,5,1,2
2017-01-31,Martes,31,1,2017,5,1,2
2017-02-01,Miercoles,1,2,2017,5,1,1
2017-02-02,Jueves,2,2,2017,5,1,1
2017-02-03,Viernes,3,2,2017,5,1,1
2017-02-04,Sabado,4,2,2017,5,1,1
2017-02-05,Domingo,5,2,2017,5,1,1
2017-02-06,Lunes,6,2,2017,6,1,1
2017-02-07,Martes,7,2,2017,6,1,1
2017-02-08,Miercoles,8,2,2017,6,1,1
2017-02-09,Jueves,9,2,2017,6,1,1
2017-02-10,Viernes,10,2,2017,6,1,1
2017-02-11,Sabado,11,2,2017,6,1,1
2017-02-12,Domingo,12,2,2017,6,1,1
2017-02-13,Lunes,13,2,2017,7,1,1
2017-02-14,Martes,14,2,2017,7,1,1
2017-02-15,Miercoles,15,2,2017,7,1,2
2017-02-16,Jueves,16,2,2017,7,1,2
2017-02-17,Viernes,17,2,2017,7,1,2
2017-02-18,Sabado,18,2,2017,7,1,2
2017-02-19,Domingo,19,2,2017,7,1,2
2017-02-20,Lunes,20,2,2017,8,1,2
2017-02-21,Martes,21,2,2017,8,1,2
2017-02-22,Miercoles,22,2,2017,8,1,2
2017-02-23,Jueves,23,2,2017,8,1,2
2017-02-24,Viernes,24,2,2017,8,1,2
2017-02-25,Sabado,25,2,2017,8,1,2
2017-02-26,Domingo,26,2,2017,8,1,2
2017-02-27,Lunes,27,2,2017,9,1,2
2017-02-28,Martes,28,2,2017,9,1,2
2017-03-01,Miercoles,1,3,2017,9,1,1
2017-03-02,Jueves,2,3,2017,9,1,1
2017-03-03,Viernes,3,3,2017,9,1,1
2017-03-04,Sabado,4,3,2017,9,1,1
2017-03-05,Domingo,5,3,2017,9,1,1
2017-03-06,Lunes,6,3,2017,10,1,1
2017-03-07,Martes,7,3,2017,10,1,1
2017-03-08,Miercoles,8,3,2017,10,1,1
2017-03-09,Jueves,9,3,2017,10,1,1
2017-03-10,Viernes,10,3,2017,10,1,1
2017-03-11,Sabado,11,3,2017,10,1,1
2017-03-12,Domingo,12,3,2017,10,1,1
2017-03-13,Lunes,13,3,2017,11,1,1
2017-03-14,Martes,14,3,2017,11,1,1
2017-03-15,Miercoles,15,3,2017,11,1,2
2017-03-16,Jueves,16,3,2017,11,1,2
2017-03-17,Viernes,17,3,2017,11,1,2
2017-03-18,Sabado,18,3,2017,11,1,2
2017-03-19,Domingo,19,3,2017,11,1,2
2017-03-20,Lunes,20,3,2017,12,1,2
2017-03-21,Martes,21,3,2017,12,1,2
2017-03-22,Miercoles,22,3,2017,12,1,2
2017-03-23,Jueves,23,3,2017,12,1,2
2017-03-24,Viernes,24,3,2017,12,1,2
2017-03-25,Sabado,25,3,2017,12,1,2
2017-03-26,Domingo,26,3,2017,12,1,2
2017-03-27,Lunes,27,3,2017,13,1,2
2017-03-28,Martes,28,3,2017,13,1,2
2017-03-29,Miercoles,29,3,2017,13,1,2
2017-03-30,Jueves,30,3,2017,13,1,2
2017-03-31,Viernes,31,3,2017,13,1,2
2017-04-01,Sabado,1,4,2017,13,2,1
2017-04-02,Domingo,2,4,2017,13,2,1
2017-04-03,Lunes,3,4,2017,14,2,1
2017-04-04,Martes,4,4,2017,14,2,1
2017-04-05,Miercoles,5,4,2017,14,2,1
2017-04-06,Jueves,6,4,2017,14,2,1
2017-04-07,Viernes,7,4,2017,14,2,1
2017-04-08,Sabado,8,4,2017,14,2,1
2017-04-09,Domingo,9,4,2017,14,2,1
2017-04-10,Lunes,10,4,2017,15,2,1
2017-04-11,Martes,11,4,2017,15,2,1
2017-04-12,Miercoles,12,4,2017,15,2,1
2017-04-13,Jueves,13,4,2017,15,2,1
2017-04-14,Viernes,14,4,2017,15,2,1
2017-04-15,Sabado,15,4,2017,15,2,2
2017-04-16,Domingo,16,4,2017,15,2,2
2017-04-17,Lunes,17,4,2017,16,2,2
2017-04-18,Martes,18,4,2017,16,2,2
2017-04-19,Miercoles,19,4,2017,16,2,2
2017-04-20,Jueves,20,4,2017,16,2,2
2017-04-21,Viernes,21,4,2017,16,2,2
2017-04-22,Sabado,22,4,2017,16,2,2
2017-04-23,Domingo,23,4,2017,16,2,2
2017-04-24,Lunes,24,4,2017,17,2,2
2017-04-25,Martes,25,4,2017,17,2,2
2017-04-26,Miercoles,26,4,2017,17,2,2
2017-04-27,Jueves,27,4,2017,17,2,2
2017-04-28,Viernes,28,4,2017,17,2,2
2017-04-29,Sabado,29,4,2017,17,2,2
2017-04-30,Domingo,30,4,2017,17,2,2
2017-05-01,Lunes,1,5,2017,18,2,1
2017-05-02,Martes,2,5,2017,18,2,1
2017-05-03,Miercoles,3,5,2017,18,2,1
2017-05-04,Jueves,4,5,2017,18,2,1
2017-05-05,Viernes,5,5,2017,18,2,1
2017-05-06,Sabado,6,5,2017,18,2,1
2017-05-07,Domingo,7,5,2017,18,2,1
2017-05-08,Lunes,8,5,2017,19,2,1
2017-05-09,Martes,9,5,2017,19,2,1
2017-05-10,Miercoles,10,5,2017,19,2,1
2017-05-11,Jueves,11,5,2017,19,2,1
2017-05-12,Viernes,12,5,2017,19,2,1
2017-05-13,Sabado,13,5,2017,19,2,1
2017-05-14,Domingo,14,5,2017,19,2,1
2017-05-15,Lunes,15,5,2017,20,2,2
2017-05-16,Martes,16,5,2017,20,2,2
2017-05-17,Miercoles,17,5,2017,20,2,2
2017-05-18,Jueves,18,5,2017,20,2,2
2017-05-19,Viernes,19,5,2017,20,2,2
2017-05-20,Sabado,20,5,2017,20,2,2
2017-05-21,Domingo,21,5,2017,20,2,2
