fecha,clasificacion_vuelo,ruta_nombre,vuelos,pasajeros,asientos
2017-01-01,Cabotaje,Bahía Blanca - Ciudad de Buenos Aires,3352,336779,417643
2017-01-01,Cabotaje,Bahía Blanca - Mar del Plata,524,24648,50304
2017-01-01,Cabotaje,Bahía Blanca - Neuquén,102,5062,9929
2017-01-01,Cabotaje,Bahía Blanca - San Carlos de Bariloche,72,5692,7913
2017-01-01,Cabotaje,Bahía Blanca - Trelew,295,12452,28357
2017-01-01,Cabotaje,Bahía Blanca - Ushuaia,225,16849,21552
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Comodoro Rivadavia,4135,456224,571815
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Corrientes,1166,97297,115952
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Córdoba,9898,1201681,1549512
2017-01-01,Cabotaje,Ciudad de Buenos Aires - El Calafate,2786,374509,454417
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Esquel,619,59068,78321
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Formosa,1203,105188,121022
2017-01-01,Cabotaje,Ciudad de Buenos Aires - La Rioja,852,65270,93654
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Mar del Plata,1990,181357,206489
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Mendoza,7240,876271,1098282
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Neuquén,5410,715397,871068
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Paraná,1167,98885,128655
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Posadas,1875,205378,237428
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Puerto Iguazú,6194,835472,989913
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Puerto Madryn,734,93024,117324
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Reconquista,97,1503,1950
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Resistencia,2455,272849,339029
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Rio Hondo,1307,149021,196626
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Rosario,1199,85760,113724
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Río Cuarto,939,55249,90378
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Río Gallegos,1792,234211,283075
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Río Grande,867,92895,110409
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Salta,6316,811610,1035229
2017-01-01,Cabotaje,Ciudad de Buenos Aires - San Carlos de Bariloche,7449,994272,1207105
2017-01-01,Cabotaje,Ciudad de Buenos Aires - San Fernando del Valle de Catamarca,765,54281,79691
2017-01-01,Cabotaje,Ciudad de Buenos Aires - San Juan,2062,199716,276654
2017-01-01,Cabotaje,Ciudad de Buenos Aires - San Luis,1182,88851,113895
2017-01-01,Cabotaje,Ciudad de Buenos Aires - San Martín de los Andes,818,103443,128490
2017-01-01,Cabotaje,Ciudad de Buenos Aires - San Miguel de Tucumán,4105,495833,624791
2017-01-01,Cabotaje,Ciudad de Buenos Aires - San Rafael,712,54488,68292
2017-01-01,Cabotaje,Ciudad de Buenos Aires - San Salvador de Jujuy,2120,193707,240399
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Santa Fe,502,36841,52711
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Santa Rosa,592,45172,56940
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Santiago del Estero,1197,96844,117278
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Trelew,1771,198725,242119
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Ushuaia,3697,483717,577454
2017-01-01,Cabotaje,Ciudad de Buenos Aires - Viedma,380,26158,36480
2017-01-01,Cabotaje,Comodoro Rivadavia - Córdoba,530,49760,56690
2017-01-01,Cabotaje,Comodoro Rivadavia - Ezeiza,54,6388,8204
2017-01-01,Cabotaje,Comodoro Rivadavia - Neuquén,723,53328,81852
2017-01-01,Cabotaje,Comodoro Rivadavia - Río Gallegos,329,11557,21103
2017-01-01,Cabotaje,Comodoro Rivadavia - Trelew,306,11079,28508
2017-01-01,Cabotaje,Córdoba - El Calafate,168,15293,18732
2017-01-01,Cabotaje,Córdoba - Ezeiza,1807,151421,199630
2017-01-01,Cabotaje,Córdoba - Mar del Plata,144,10969,13824
2017-01-01,Cabotaje,Córdoba - Mendoza,1442,119701,152650
2017-01-01,Cabotaje,Córdoba - Neuquén,476,41981,46197
2017-01-01,Cabotaje,Córdoba - Puerto Iguazú,535,41626,51809
2017-01-01,Cabotaje,Córdoba - Resistencia,445,33124,42829
2017-01-01,Cabotaje,Córdoba - Rio Hondo,132,7898,13042
2017-01-01,Cabotaje,Córdoba - Rosario,513,19565,55193
2017-01-01,Cabotaje,Córdoba - Río Cuarto,124,641,11856
2017-01-01,Cabotaje,Córdoba - Salta,644,70731,80522
2017-01-01,Cabotaje,Córdoba - San Carlos de Bariloche,535,45295,60223
2017-01-01,Cabotaje,Córdoba - San Miguel de Tucumán,311,24561,30335
2017-01-01,Cabotaje,Córdoba - San Salvador de Jujuy,435,36089,42003
2017-01-01,Cabotaje,Córdoba - Trelew,117,11196,15078
2017-01-01,Cabotaje,Córdoba - Ushuaia,469,43340,52604
2017-01-01,Cabotaje,El Calafate - Ezeiza,256,31161,39682
2017-01-01,Cabotaje,El Calafate - Rosario,152,11181,17108
2017-01-01,Cabotaje,El Calafate - San Carlos de Bariloche,392,35775,66513
2017-01-01,Cabotaje,El Calafate - Trelew,87,4970,8389
2017-01-01,Cabotaje,El Calafate - Ushuaia,1278,137292,215676
2017-01-01,Cabotaje,Ezeiza - Mar del Plata,527,36540,50656
2017-01-01,Cabotaje,Ezeiza - Mendoza,1705,115961,165035
2017-01-01,Cabotaje,Ezeiza - Puerto Iguazú,716,64127,79122
2017-01-01,Cabotaje,Ezeiza - Puerto Madryn,60,5355,8413
2017-01-01,Cabotaje,Ezeiza - Rosario,1085,72495,107371
2017-01-01,Cabotaje,Ezeiza - Río Grande,507,49925,64574
2017-01-01,Cabotaje,Ezeiza - Salta,734,58046,90238
2017-01-01,Cabotaje,Ezeiza - San Carlos de Bariloche,865,103803,144918
2017-01-01,Cabotaje,Ezeiza - San Juan,75,5251,7449
2017-01-01,Cabotaje,Ezeiza - Trelew,381,38498,60272
2017-01-01,Cabotaje,Ezeiza - Ushuaia,367,62616,81063
2017-01-01,Cabotaje,La Rioja - San Fernando del Valle de Catamarca,330,14089,37429
2017-01-01,Cabotaje,Mar del Plata - Mendoza,57,5005,5472
2017-01-01,Cabotaje,Mar del Plata - Neuquén,58,1499,2267
2017-01-01,Cabotaje,Mar del Plata - Rosario,58,4433,5556
2017-01-01,Cabotaje,Mar del Plata - San Carlos de Bariloche,53,4455,5370
2017-01-01,Cabotaje,Mar del Plata - San Miguel de Tucumán,97,7486,9264
2017-01-01,Cabotaje,Mendoza - Neuquén,721,48391,83464
2017-01-01,Cabotaje,Mendoza - Rosario,448,30292,43317
2017-01-01,Cabotaje,Mendoza - Salta,331,19335,31845
2017-01-01,Cabotaje,Mendoza - San Juan,161,8092,27031
2017-01-01,Cabotaje,Neuquén - San Carlos de Bariloche,51,1765,2791
2017-01-01,Cabotaje,Puerto Iguazú - Rosario,357,23968,35151
2017-01-01,Cabotaje,Puerto Iguazú - Salta,401,26987,38685
2017-01-01,Cabotaje,Rosario - Salta,295,22351,28431
2017-01-01,Cabotaje,Rosario - San Carlos de Bariloche,426,36515,47535
2017-01-01,Cabotaje,Río Gallegos - Río Grande,144,2876,5315
2017-01-01,Cabotaje,Río Gallegos - Ushuaia,56,2530,4874
2017-01-01,Cabotaje,Salta - San Salvador de Jujuy,254,14555,42343
2017-01-01,Cabotaje,San Carlos de Bariloche - Viedma,295,13209,28272
2017-01-01,Cabotaje,San Miguel de Tucumán - San Salvador de Jujuy,71,3877,11204
2017-01-01,Cabotaje,Trelew - Ushuaia,317,24665,53853
2017-01-01,Internacional,Amsterdam - Ezeiza,536,192637,221408
2017-01-01,Internacional,Asunción - Ciudad de Buenos Aires,1639,92125,119501
2017-01-01,Internacional,Asunción - Córdoba,395,52407,117902
2017-01-01,Internacional,Asunción - Ezeiza,1645,172376,229482
2017-01-01,Internacional,Asunción - Salta,208,2373,10400
2017-01-01,Internacional,Atlanta - Ezeiza,722,169400,191261
2017-01-01,Internacional,Auckland - Ezeiza,355,89829,107512
2017-01-01,Internacional,Barcelona - Ezeiza,688,184528,203490
2017-01-01,Internacional,Belo Horizonte - Ezeiza,1048,110812,130078
2017-01-01,Internacional,Bogotá - Ezeiza,1804,370560,444848
2017-01-01,Internacional,Brasilia - Ezeiza,593,101021,114688
2017-01-01,Internacional,Cancún - Ezeiza,455,113666,129523
2017-01-01,Internacional,Caracas - Ezeiza,75,17773,27689
2017-01-01,Internacional,Cayo Coco - Ezeiza,53,11085,14829
2017-01-01,Internacional,Ciudad de Buenos Aires - Curitiba,642,54081,64377
2017-01-01,Internacional,Ciudad de Buenos Aires - Florianópolis,467,64715,79048
2017-01-01,Internacional,Ciudad de Buenos Aires - Montevideo,4824,265225,413661
2017-01-01,Internacional,Ciudad de Buenos Aires - Porto Alegre,727,89793,113185
2017-01-01,Internacional,Ciudad de Buenos Aires - Porto Seguro,239,33117,38672
2017-01-01,Internacional,Ciudad de Buenos Aires - Punta del Este,1480,116728,171043
2017-01-01,Internacional,Ciudad de Buenos Aires - Río de Janeiro,2223,283026,333132
2017-01-01,Internacional,Ciudad de Buenos Aires - Salvador,280,39523,47408
2017-01-01,Internacional,Ciudad de Buenos Aires - Santa Cruz de la Sierra,812,96277,130432
2017-01-01,Internacional,Ciudad de Buenos Aires - Santiago,6277,895100,1105726
2017-01-01,Internacional,Ciudad de Buenos Aires - São Paulo,7985,1162583,1422803
2017-01-01,Internacional,Cochabamba - Ezeiza,59,6273,7507
2017-01-01,Internacional,Córdoba - Florianópolis,66,7669,8537
2017-01-01,Internacional,Córdoba - Lima,724,137263,159006
2017-01-01,Internacional,Córdoba - Montevideo,108,3390,5714
2017-01-01,Internacional,Córdoba - Panamá,789,108260,121402
2017-01-01,Internacional,Córdoba - Porto Seguro,116,15156,18694
2017-01-01,Internacional,Córdoba - Punta del Este,58,4446,5714
2017-01-01,Internacional,Córdoba - Río de Janeiro,701,102418,125587
2017-01-01,Internacional,Córdoba - Salvador,157,21355,27207
