ds;yhat;yhat_lower;yhat_upper
2017-01-31;2249339,9414761164;1134465,576084582;3263731,3377369726
2017-02-28;2389205,0113244047;1344438,9665921147;3362259,298210834
2017-03-31;2244313,535267269;1192392,3531542048;3294573,5319158914
2017-04-30;1850532,475929178;812539,7074101422;2862769,283449794
2017-05-31;1653695,9079584088;586937,1245592106;2670514,206145751
2017-06-30;1689488,659345025;623306,3268651926;2700736,10947735
2017-07-31;2019739,621077717;955424,0960728333;3109096,3715542634
2017-08-31;2074543,3379555242;969457,9356348931;3067373,505726479
2017-09-30;2059526,4508715007;988899,1632893439;3054145,8162077186
2017-10-31;2082607,9331732083;1033517,4062469116;3135145,781611393
2017-11-30;2041136,3892352455;928332,1909132375;3106829,3659907863
2017-12-31;2084339,4124320175;991202,3317905959;3192751,592660001
2018-01-31;2316783,8088376652;1330467,8848351475;3464603,05115185
2018-02-28;2049608,5654213156;1007052,8227430135;3070207,9060926144
2018-03-31;2110420,1005537035;1095147,332302023;3130916,7575931447
2018-04-30;1840512,1419296605;768121,4038915441;2912474,612647671
2018-05-31;1724972,9569144961;683825,1881367543;2770267,034791518
2018-06-30;1623291,6338744862;492598,76954041317;2682660,816880601
2018-07-31;1991613,1999706605;965333,9296527295;3083607,5702840835
2018-08-31;1932129,8355865614;922465,1150867136;3040642,856255255
2018-09-30;1872481,6589408005;815666,2017550865;2956091,555444784
2018-10-31;1989625,4264317916;914896,0825032422;3034812,7258724486
2018-11-30;2019969,1433306767;947451,9540046371;3042042,556257155
2018-12-31;2169953,8688580547;1116889,7430008329;3289196,8730530622
2019-01-31;2378170,9205199936;1331609,1027075986;3414947,1124085663
2019-02-28;1708127,1581159225;701345,519561439;2747536,94089597
2019-03-31;1981354,3775500394;912169,0501648127;3029850,4927928876
2019-04-30;1834763,9498962448;748132,934613824;2849477,9976416016
2019-05-31;1796438,3255020662;714366,1987121244;2873845,796525929
2019-06-30;1554857,5283979755;486799,7391972829;2667794,5911555146
2019-07-31;1960607,820639126;922448,1899133142;2960812,9749946543
2019-08-31;1786946,1790548642;741129,1857551727;2882768,0357031296
2019-09-30;1686770,7307355164;706672,492489774;2781332,488433515
2019-10-31;1900358,716080769;828911,2794564165;3064650,6536136707
2019-11-30;2002202,8858796246;893342,4499623426;3066452,513668653
2019-12-31;2255603,0918358713;1197896,988348158;3317463,4136601877
2020-01-31;2433353,7427609353;1448940,1009501324;3524479,782313646
2020-02-29;2448004,734045973;1389716,2089762446;3469772,995990888
2020-03-31;2104307,7583063045;957167,2925550397;3119081,452016256
