ds;aerolinea;yhat;yhat_lower;yhat_upper
2017-01-31;Aerolíneas Argentinas;1045220,8120202541;585419,912743277;1546851,8334794864
2017-02-28;Aerolíneas Argentinas;1046708,486519806;523697,5481213497;1572184,4149285024
2017-03-31;Aerolíneas Argentinas;998729,1732503239;516062,38127636275;1404944,8106272984
2017-04-30;Aerolíneas Argentinas;828813,7242059761;386899,30946905195;1302037,4909993487
2017-05-31;Aerolíneas Argentinas;743766,1254041423;268516,96656899375;1211303,9932255733
2017-06-30;Aerolíneas Argentinas;753929,1526538287;283625,1721500275;1199828,7395590767
2017-07-31;Aerolíneas Argentinas;920162,6274559683;418894,610066368;1409553,1726322074
2017-08-31;Aerolíneas Argentinas;936529,8834227072;493302,879453241;1409718,9824509493
2017-09-30;Aerolíneas Argentinas;931137,334997732;499188,8089882467;1408187,027707143
2017-10-31;Aerolíneas Argentinas;946681,6461846001;451141,67067229975;1451504,4246945085
2017-11-30;Aerolíneas Argentinas;925922,57633554;473845,1396597352;1375319,527006608
2017-12-31;Aerolíneas Argentinas;929727,2195750143;451338,1222429111;1412112,3938884193
2018-01-31;Aerolíneas Argentinas;1058527,3192109577;559999,193972971;1536788,647777024
2018-02-28;Aerolíneas Argentinas;919923,3733648877;479218,40600179386;1330217,1347463082
2018-03-31;Aerolíneas Argentinas;966789,9659325437;473605,5227778839;1437736,4241532646
2018-04-30;Aerolíneas Argentinas;849109,0109941668;382526,3781894898;1292414,9785769314
2018-05-31;Aerolíneas Argentinas;783771,057886979;332744,0908044816;1225001,3505501493
2018-06-30;Aerolíneas Argentinas;737651,2173572134;242123,02677749243;1217393,4252078098
2018-07-31;Aerolíneas Argentinas;915404,8725498938;437903,2323982246;1410367,1971521012
2018-08-31;Aerolíneas Argentinas;882594,157616051;398378,7343097849;1365760,6327864416
2018-09-30;Aerolíneas Argentinas;867051,7222893559;412492,0170472032;1357004,0749155232
2018-10-31;Aerolíneas Argentinas;930178,8977459434;460793,06890705606;1397226,6850762698
2018-11-30;Aerolíneas Argentinas;940815,6379046913;451621,7895310437;1421235,0148566307
2018-12-31;Aerolíneas Argentinas;985632,0891367968;493633,3253698802;1467647,0704650378
2019-01-31;Aerolíneas Argentinas;1069098,675454286;597450,5874894785;1556388,0254796462
2019-02-28;Aerolíneas Argentinas;792934,7211887442;350137,3853047712;1279929,3317338903
2019-03-31;Aerolíneas Argentinas;937128,8952057984;448637,19906835916;1414599,5910588664
2019-04-30;Aerolíneas Argentinas;870975,4064132922;374482,01476279635;1351710,6435330245
2019-05-31;Aerolíneas Argentinas;823562,7512336494;381407,4999011307;1268864,9366457767
2019-06-30;Aerolíneas Argentinas;720288,2901678338;256374,4982655816;1179538,2702736827
2019-07-31;Aerolíneas Argentinas;909373,0224645301;433644,6476411946;1393623,2446781457
2019-08-31;Aerolíneas Argentinas;827682,9186382592;348442,4681894984;1266586,7504266535
2019-09-30;Aerolíneas Argentinas;803865,3093620527;335212,4931092071;1258237,7288902644
2019-10-31;Aerolíneas Argentinas;915407,1840174058;482852,84657825227;1390334,592964279
2019-11-30;Aerolíneas Argentinas;956919,3698168512;502074,9761110374;1450117,1432696204
2019-12-31;Aerolíneas Argentinas;1040921,6750083894;566340,2808266755;1548112,5339751658
2020-01-31;Aerolíneas Argentinas;1076905,3997053467;600167,569607013;1504192,2115294938
2020-02-29;Aerolíneas Argentinas;1110146,771002536;654941,964877312;1597318,110867023
2020-03-31;Aerolíneas Argentinas;969896,9734528761;475033,237528214;1463559,6599047857
2020-04-30;Aerolíneas Argentinas;747141,3038136453;262412,51949399896;1209880,536110963
2020-05-31;Aerolíneas Argentinas;640627,6168652883;155055,581216425;1150798,9839977694
2020-06-30;Aerolíneas Argentinas;706143,1843706169;196940,5273059643;1186712,6766464103
2020-07-31;Aerolíneas Argentinas;860654,232974633;393489,1962343431;1328524,652055282
2020-08-31;Aerolíneas Argentinas;926442,5462215551;460856,3101092164;1385693,8728758956
2020-09-30;Aerolíneas Argentinas;933069,087287616;471011,8623441217;1412574,570847482
2020-10-31;Aerolíneas Argentinas;901935,4974772074;414190,33136114775;1344782,796504354
2020-11-30;Aerolíneas Argentinas;849339,3805677755;367494,69672328554;1313690,7406213675
2020-12-31;Aerolíneas Argentinas;810356,8492490401;364505,94924546994;1260772,0886862006
