ds;yhat;yhat_lower;yhat_upper
2017-01-31;17892,20451158806;10256,931319829439;26030,164335426845
2017-02-28;18644,95467478041;11144,362335782898;26835,170690355502
2017-03-31;18179,32575694253;9997,698334677161;24795,48464163783
2017-04-30;15012,014890028504;7517,645629306348;22545,850806441867
2017-05-31;13799,563326483974;6047,972020646385;22423,361322649645
2017-06-30;13993,309638210936;6883,369808520851;21655,791675797645
2017-07-31;16092,039380604447;7357,371063046158;23863,263675335926
2017-08-31;16747,597159224886;8569,133051849025;24867,52866583465
2017-09-30;16245,01608679313;8867,538119024946;24245,539149905457
2017-10-31;16490,0224111393;9042,68508175751;24771,5926069708
2017-11-30;16174,263438662125;8178,223820419696;24026,35962248462
2017-12-31;16610,05655275313;8249,925854711546;24100,362004398437
2018-01-31;18142,95164815039;10234,053140135606;26044,971312558748
2018-02-28;15894,076811210269;8191,194937350427;23639,844997234566
2018-03-31;16791,666766035163;9002,994001220522;24316,041748347987
2018-04-30;14703,24240907403;6922,609138242239;22128,112711169797
2018-05-31;14165,450882798317;6191,024781344616;21330,613213048837
2018-06-30;13344,652844703149;4963,1092525993845;21256,475220578333
2018-07-31;15533,67390897388;8775,579952564274;23471,63320541365
2018-08-31;15439,207213655991;7539,640227153476;23519,526766702
2018-09-30;14568,31573255702;6577,346548809827;22333,186673496653
2018-10-31;15612,00784045067;7639,362750246934;23445,84013728354
2018-11-30;15679,147172042367;7925,137740359387;23364,473476537638
2018-12-31;17122,458136372832;9458,267343593468;24343,94267908991
2019-01-31;18347,10431632034;10308,996490237705;25876,243132416817
2019-02-28;13127,240473372987;5520,543660326873;20483,54687563634
2019-03-31;15440,058312872585;7544,880754127141;22636,95168259814
2019-04-30;14429,836718662455;7181,925844452111;22893,891619832593
2019-05-31;14534,056212218076;7188,35354063026;22504,196917644196
2019-06-30;12676,523885984134;5258,333042895193;20774,400223917204
2019-07-31;14952,07307475812;7686,2606150017955;22717,864151894315
2019-08-31;14110,497766863868;6658,629061973816;22014,650224803412
2019-09-30;12902,67457929498;4836,056463628889;20835,42717884402
2019-10-31;14761,688946074017;6760,542549659486;22805,446783848012
2019-11-30;15210,57948187051;7686,495606215433;23146,170668774477
2019-12-31;17635,882939956296;9823,592368708833;25172,996980986532
2020-01-31;18503,51244819485;10707,249089900759;26484,989180227167
2020-02-29;18318,38322837256;10805,934073634231;26562,01585122875
2020-03-31;16542,762255052206;9339,44028923601;24857,377893875226
2020-04-30;12297,853891600143;5182,072122183022;19832,261332703853
2020-05-31;10378,999038609967;2389,950725323828;17772,14921226826
2020-06-30;11564,121052473065;3586,5554789352555;19467,307368725647
2020-07-31;13568,461363681829;5382,690998811441;22010,151002439557
2020-08-31;14976,027352489453;6949,062750941376;22667,08530401433
2020-09-30;14872,79607905594;6966,7077101597115;22330,833044728886
2020-10-31;14336,84072727091;6281,714314035064;22305,64177621059
2020-11-30;13638,259127117739;5707,60865502853;21075,61111306069
2020-12-31;13042,26432596216;5488,3286205990935;20933,32136274659
2021-01-31;14834,023814446527;6896,1524763734915;23030,142205702192
2021-02-28;15586,909284147405;7132,701323535826;23170,198819068257
2021-03-31;15121,43016996551;8039,4277271253795;22630,62703467796
2021-04-30;11954,285577832237;3687,428609563921;19708,10146077031
2021-05-31;10742,005830855884;3118,067864894783;18402,60864088317
2021-06-30;10935,919458612261;2886,3018809818564;18619,466859561715
2021-07-31;13034,822094226418;5312,073991672332;21265,332922151098
2021-08-31;13690,552765982324;5536,606095454885;21018,031691380733
