ds;aerolinea;yhat;yhat_lower;yhat_upper
2017-01-31;Aerolíneas Argentinas;9818,657521136975;6007,697809653776;13805,02489267029
2017-02-28;Aerolíneas Argentinas;9890,368098603049;5764,651651674131;14057,999209949523
2017-03-31;Aerolíneas Argentinas;9821,511710388426;5841,503654914602;14069,27324871988
2017-04-30;Aerolíneas Argentinas;8128,854993499968;4091,295494214237;12332,355378035905
2017-05-31;Aerolíneas Argentinas;7579,624450224836;3382,6866013230424;11917,587802900714
2017-06-30;Aerolíneas Argentinas;7546,163067087601;3609,8723507938403;11574,284422558925
2017-07-31;Aerolíneas Argentinas;8693,085107861223;4610,561557974855;12755,418549709697
2017-08-31;Aerolíneas Argentinas;8973,572078939053;5047,375300206088;12727,2780023111
2017-09-30;Aerolíneas Argentinas;8696,374760337345;4641,710119326053;12860,095801945568
2017-10-31;Aerolíneas Argentinas;8861,027146386185;4836,955713033852;12622,798234795919
2017-11-30;Aerolíneas Argentinas;8662,024202951974;4630,069383090939;12580,73710741262
2017-12-31;Aerolíneas Argentinas;8806,315350045596;4609,0765423009625;12698,146539400508
2018-01-31;Aerolíneas Argentinas;9856,998498309202;5820,80767741401;14047,540929756287
2018-02-28;Aerolíneas Argentinas;8504,441181030334;4537,495866306958;12647,358810018903
2018-03-31;Aerolíneas Argentinas;9253,707080596387;5229,992637000581;13372,19802575351
2018-04-30;Aerolíneas Argentinas;8142,242243848141;4227,182877468117;12421,379916502417
2018-05-31;Aerolíneas Argentinas;7818,657015447156;3566,1078657946714;12221,52499848004
2018-06-30;Aerolíneas Argentinas;7293,474401164625;2773,1926142159455;11647,585149373692
2018-07-31;Aerolíneas Argentinas;8423,706960919837;4455,685352724342;12210,351941642239
2018-08-31;Aerolíneas Argentinas;8324,971338867806;4400,463304594825;12463,376124103423
2018-09-30;Aerolíneas Argentinas;7908,501520536023;3720,9888172192773;11845,652400902538
2018-10-31;Aerolíneas Argentinas;8540,940072907537;4539,891023676626;12614,596399295
2018-11-30;Aerolíneas Argentinas;8527,985169692092;4296,198478111687;12575,76089125987
2018-12-31;Aerolíneas Argentinas;9239,736462165067;4923,12730182373;13223,789456150913
2019-01-31;Aerolíneas Argentinas;9868,715146000995;5709,7355967186395;14001,866594127867
2019-02-28;Aerolíneas Argentinas;7114,076826724962;2911,8027698778483;11294,754392152301
2019-03-31;Aerolíneas Argentinas;8707,22593327608;4599,962815892995;12753,455528716613
2019-04-30;Aerolíneas Argentinas;8172,652329933122;3857,944915153642;11948,679654281628
2019-05-31;Aerolíneas Argentinas;8057,068037916923;3792,908333776544;11959,775279485657
2019-06-30;Aerolíneas Argentinas;7029,452106949437;2562,7237002289244;11224,57389007767
2019-07-31;Aerolíneas Argentinas;8141,585079055163;3988,856456196802;12258,074206765243
2019-08-31;Aerolíneas Argentinas;7667,116466680976;3484,663315017572;11458,39381129181
2019-09-30;Aerolíneas Argentinas;7128,56509260339;2747,8865559155392;10795,121225157875
2019-10-31;Aerolíneas Argentinas;8236,30059756613;4336,487486936933;12300,194205360627
2019-11-30;Aerolíneas Argentinas;8407,052256823661;4459,313455912411;12386,062589941843
2019-12-31;Aerolíneas Argentinas;9669,867262849639;5629,498682688752;13953,492332455095
2020-01-31;Aerolíneas Argentinas;9853,404232819013;5544,354096452674;14008,43817201716
2020-02-29;Aerolíneas Argentinas;9997,014871046731;5975,999983711838;13928,07053268476
2020-03-31;Aerolíneas Argentinas;9136,599452410564;5050,758780746033;13179,861382325787
2020-04-30;Aerolíneas Argentinas;6859,509187011974;2762,943087796816;10760,745559003943
2020-05-31;Aerolíneas Argentinas;6067,332145150343;2017,8690826200275;10025,124714923599
2020-06-30;Aerolíneas Argentinas;6514,353371152193;2329,813658187729;10558,148044321519
2020-07-31;Aerolíneas Argentinas;7676,275839539618;3438,7901764165194;11718,767657706163
2020-08-31;Aerolíneas Argentinas;8338,96038905308;4334,47627475198;12463,131127929179
2020-09-30;Aerolíneas Argentinas;8218,10103278121;4200,9731892898835;12495,378095826074
2020-10-31;Aerolíneas Argentinas;7923,120546591024;4023,6649022283277;11878,440335524647
2020-11-30;Aerolíneas Argentinas;7536,372122137351;3419,4506180749527;11803,252074233904
