fecha,aerolinea,vuelos,pasajeros,asientos,ocupacion
2017-01-01,Aerolíneas Argentinas,7851,792840,1010445,79
2017-01-01,LADE - Líneas Aéreas Del Estado,115,1733,3786,46
2017-02-01,Aerolíneas Argentinas,6965,707641,887014,80
2017-02-01,LADE - Líneas Aéreas Del Estado,119,1834,3857,48
2017-03-01,Aerolíneas Argentinas,7703,740744,985489,76
2017-03-01,LADE - Líneas Aéreas Del Estado,116,1717,3768,46
2017-04-01,Aerolíneas Argentinas,6994,703846,892377,79
2017-04-01,LADE - Líneas Aéreas Del Estado,55,733,2062,36
2017-05-01,Aerolíneas Argentinas,7498,695377,957738,73
2017-05-01,LADE - Líneas Aéreas Del Estado,59,590,2192,27
2017-06-01,Aerolíneas Argentinas,7134,665726,916324,73
2017-06-01,LADE - Líneas Aéreas Del Estado,65,792,2354,34
2017-07-01,Aerolíneas Argentinas,8257,857851,1076464,80
2017-07-01,LADE - Líneas Aéreas Del Estado,58,906,2167,42
2017-08-01,Aerolíneas Argentinas,8230,817752,1077040,76
2017-08-01,LADE - Líneas Aéreas Del Estado,40,597,1554,39
2017-09-01,Aerolíneas Argentinas,7811,816275,1035674,79
2017-09-01,LADE - Líneas Aéreas Del Estado,46,771,1671,47
2017-10-01,Aerolíneas Argentinas,7964,834365,1055792,80
2017-10-01,LADE - Líneas Aéreas Del Estado,47,812,1617,51
2017-11-01,Aerolíneas Argentinas,7954,864660,1059329,82
2017-11-01,LADE - Líneas Aéreas Del Estado,34,612,1168,53
2017-12-01,Aerolíneas Argentinas,7840,832900,1045273,80
2017-12-01,LADE - Líneas Aéreas Del Estado,16,299,592,51
2018-01-01,Aerolíneas Argentinas,8093,863431,1069899,81
2018-01-01,Flybondi,14,1639,2646,62
2018-01-01,LADE - Líneas Aéreas Del Estado,36,632,1314,49
2018-02-01,Aerolíneas Argentinas,7126,767789,939120,82
2018-02-01,Flybondi,155,20324,29201,70
2018-02-01,LADE - Líneas Aéreas Del Estado,34,565,1188,48
2018-03-01,Aerolíneas Argentinas,8246,835091,1094860,77
2018-03-01,Flybondi,413,50301,77963,65
